Ticker,Nome,Preço,Variação %,Volume,Volume Rel,Valor de Mercado,P/L,Crescimento EPS dil.,Div. Yield %,Setor
NUTR3,NUTRIPLANTMAD,"3,88BRL","+3,19%","3,5 K","1,07","49,8 MBRL","5,00","+192,94%","0,00%",Industrias de Processamento
ODPV3,ODONTOPREVED,"10,53BRL","−2,32%","2,32 M","1,84","5,59 BBRL","10,72","+6,17%","6,31%",Serviços de Saúde
OFSA3,OUROFINO S/AON,"22,73BRL","−0,18%",800,"0,32","1,23 BBRL","9,10",—,"4,02%",Tecnologia em Saúde
OIBR3,OIN,"0,61BRL","0,00%","3,14 M","0,16","207,68 MBRL","0,00",—,"0,00%",Comunicações
ONCO3,ONCOCLINICASON,"5,470BRL","−0,36%","1,17 M","0,51","3,41 BBRL",—,"−342,49%","0,00%",Serviços de Saúde
OPCT3,OCEANPACTNMD,"5,300BRL","+1,92%","393,5 K","0,68","1,05 BBRL",—,"−121,59%","0,00%",Serviços Comerciais
ORVR3,ORIZONNMD,"44,550BRL","+0,72%","301,8 K","0,80","3,7 BBRL","60,69","+56,13%","0,00%",Serviços Públicos
OSXB3,OSX BRASILNMD,"2,86BRL","+1,42%","1,4 K","0,34",9 MBRL,—,"−33,61%","0,00%",Serviços Industriais
PATI3,PANATLANTICAOND,"29,00BRL","+7,41%",800,"0,43","695,06 MBRL","8,20","+530,91%","4,90%",Produtor Manufatureiro
PCAR3,P.ACUCAR,"3,75BRL","+3,59%","24,26 M","1,20","1,84 BBRL",—,"+32,55%","0,00%",Comércio de Varejo
PDGR3,PDG REALTES,"0,75BRL","−8,54%","731,5 K","1,16","10,03 MBRL",—,"−103,55%","0,00%",Financeiro
PDTC3,PADTECNMD,"1,05BRL","+0,96%",33 K,"0,52","83,44 MBRL",—,"−280,13%","4,40%",Tecnologia Eletrônica
PEAB3,PAR AL BAHIAOND,"39,50BRL","0,00%",100,"0,04","845,74 MBRL","18,20","+129,86%","3,24%",Financeiro
PETR3,PETROBRASEDR,"33,17BRL","+2,49%","14,43 M","0,76","410,71 BBRL","11,70","−70,36%","23,89%",Minerais Energéticos
PETZ3,PETZNMD,"4,05BRL","+0,50%","4,98 M","0,75","1,87 BBRL",—,"−367,80%","7,19%",Industrias de Processamento
PFRM3,PROFARMANMD,"7,50BRL","+1,63%","396,3 K","0,87","919,58 MBRL","8,03","+62,78%","6,52%",Serviços de Distribuição
PGMN3,PAGUE MENOSNMD,"3,280BRL","+1,55%","430,6 K","0,41","2,04 BBRL","19,58",—,"6,52%",Comércio de Varejo
PINE3,PINEEJ,"4,56BRL","+0,22%","16,5 K","0,61","1,02 BBRL","3,77","+66,23%","10,75%",Financeiro
PLAS3,PLASCAR PARTOND,"6,15BRL","−0,81%",200,"0,11","76,42 MBRL",—,"−15.295,48%","0,00%",Produtor Manufatureiro
PLPL3,PLANOEPLANONMD,"11,910BRL","−0,75%","590,1 K","0,78","2,43 BBRL","7,12","+26,84%","8,45%",Financeiro
PMAM3,PARANAPANEMAON,"2,20BRL","−3,51%","605,1 K","0,23","165,89 MBRL",—,"+3,00%","0,00%",Minerais Não-Energéticos
PNVL3,DIMEDNMD,"8,90BRL","+1,60%","175,1 K","0,65","1,32 BBRL","12,71","+12,38%","3,87%",Comércio de Varejo
POMO3,MARCOPOLON,"5,09BRL","+2,62%",270 K,"0,45","6,82 BBRL","4,74","+48,91%","11,59%",Produtor Manufatureiro
PORT3,WILSON SONSNMD,"17,100BRL","−0,06%","687,9 K","0,54","7,54 BBRL",—,—,"7,13%",Transportes
POSI3,POSITIVO TECON,"5,42BRL","+7,54%","1,8 M","1,20","757,55 MBRL","9,46","−67,46%","7,72%",Tecnologia Eletrônica
PRIO3,PETRORIONMD,"34,56BRL","+3,47%","9,86 M","0,44","29,63 BBRL","2,81","+100,40%","0,21%",Minerais Energéticos
PRNR3,PRINERNMD,"17,65BRL","+1,38%","480,1 K","1,90","815,43 MBRL","80,59","−40,68%","0,41%",Serviços Industriais
PSSA3,PORTO SEGUROON,"40,50BRL","+0,25%","1,5 M","0,80","25,99 BBRL","9,90","+16,51%","5,09%",Financeiro
PTBL3,PORTOBELLONMD,"4,25BRL","+1,19%","292,8 K","0,58","571,39 MBRL",—,"−190,41%","0,00%",Produtor Manufatureiro
PTNT3,PETTENATI,"9,00BRL","0,00%",700,"0,64","350,74 MBRL","13,81","−21,19%","1,45%",Industrias de Processamento
QUAL3,QUALICORPNMD,"2,10BRL","+5,53%","3,52 M","1,29",583 MBRL,"87,14",—,"0,00%",Serviços de Saúde
RADL3,RAIADROGASILON,"20,69BRL","−3,05%","8,65 M","0,66","35,45 BBRL","29,43","+13,83%","1,40%",Comércio de Varejo
RAIL3,RUMO S.A.NMD,"18,88BRL","+2,00%","10,8 M","0,77",35 BBRL,—,"−234,06%","0,49%",Transportes
RANI3,IRANINMD,"7,17BRL","+0,56%","270,6 K","0,50","1,7 BBRL","5,55","−18,60%","7,35%",Industrias de Processamento
RAPT3,RANDON PARTN,"8,06BRL","+1,26%","10,8 K","0,36","2,62 BBRL","6,48","+7,03%","3,83%",Produtor Manufatureiro
RCSL3,RECRUSUL,"2,76BRL","−5,80%","688,1 K","0,93",58 MBRL,—,"−99,28%","0,00%",Produtor Manufatureiro
RDNI3,RNINMD,"2,58BRL","−9,47%",3 K,"0,40","108,88 MBRL",—,"−764,46%","0,00%",Financeiro
RDOR3,REDEORNMD,"29,870BRL","+0,61%","2,79 M","0,36","67,22 BBRL","17,39","+88,76%","2,33%",Serviços de Saúde
REAG3,REAGINVESTNMD,"4,410BRL","+3,76%","13,7 K","3,04","224,27 MBRL","16,88","+344,97%","0,00%",Serviços Comerciais
RECV3,PETRORECSANMD,"14,040BRL","+1,45%","2,64 M","0,58","4,12 BBRL","9,41","−38,29%","19,59%",Minerais Energéticos
REDE3,REDE ENERGIAOND,"6,50BRL","0,00%",400,"0,41","13,72 BBRL","9,29","−10,96%","9,33%",Serviços Públicos
RENT3,LOCALIZANMD,"40,25BRL","+3,87%","7,87 M","0,68","43,32 BBRL","23,84","−1,99%","5,07%",Financeiro
RNEW3,RENOVAN,"0,86BRL","0,00%","33,3 K","0,38","215,8 MBRL",—,"−268,98%","0,00%",Serviços Públicos
ROMI3,ROMINMD,"9,03BRL","+0,22%","85,8 K","0,83","841,33 MBRL","7,94","−26,97%","8,19%",Produtor Manufatureiro
RPAD3,ALFA HOLDINGOND,"4,10BRL","+2,50%",300,"0,42","367,38 MBRL",—,"−797,44%","0,00%",Financeiro
RPMG3,PET MANGUINHOND,"2,89BRL","+0,70%","5,3 K","0,83","195,61 MBRL",—,"−6,35%","0,00%",Minerais Energéticos
RSID3,ROSSI RESIDNMD,"2,18BRL","0,00%","56,5 K","1,29","50,41 MBRL","0,16",—,"0,00%",Consumo Duráveis
SANB3,SANTANDER BROND,"12,80BRL","−0,16%","96,8 K","1,19","101,49 BBRL","7,15","+40,98%","5,12%",Financeiro
SAPR3,SANEPARN,"5,67BRL","−0,53%","128,4 K","0,78","8,59 BBRL","5,54","+2,79%","5,06%",Serviços Públicos
SBFG3,GRUPO SBFNMD,"11,27BRL","+2,36%","1,1 M","0,93","2,75 BBRL","5,19","+222,36%","1,54%",Comércio de Varejo
SBSP3,SABESPNMD,"109,01BRL","+1,59%","2,25 M","0,65","74,51 BBRL","7,78","+171,87%","0,00%",Serviços Públicos
SCAR3,SAO CARLOSNMD,"16,70BRL","−0,54%","36,1 K","0,49","944,67 MBRL",—,"−111,03%","20,88%",Financeiro
SEER3,SER EDUCANMD,"5,50BRL","+4,76%","1,74 M","2,03","707,97 MBRL",—,"+94,32%","0,00%",Consumo de Serviços
SEQL3,SEQUOIA LOGNMD,"2,040BRL","+2,00%","229,6 K","0,52","72,14 MBRL",—,"+38,23%","0,00%",Transportes
SHOW3,TIME FOR FUNON,"0,64BRL","0,00%","21,8 K","0,18","43,14 MBRL",—,"−221,07%","0,00%",Consumo de Serviços
SLCE3,SLC AGRICOLAON,"20,15BRL","−0,69%","1,92 M","0,47","8,86 BBRL","15,02","−34,14%","4,39%",Industrias de Processamento
SMFT3,SMART FITNMD,"23,10BRL","+3,13%","3,19 M","0,86","13,8 BBRL","32,15","−57,70%","2,56%",Consumo de Serviços
SMTO3,SAO MARTINHOON,"19,58BRL","+4,71%","2,16 M","0,97","6,36 BBRL","6,19","+9,55%","6,88%",Industrias de Processamento
SNSY3,SANSUY,"11,00BRL","0,00%",400,"0,12","52,99 MBRL",—,"+83,24%","0,00%",Produtor Manufatureiro
SOJA3,BOA SAFRANMD,"10,450BRL","+2,96%",843 K,"0,74","1,41 BBRL","15,17","−73,96%","2,42%",Industrias de Processamento
SRNA3,SERENANMD,"9,400BRL","+1,51%","4,35 M","0,74","5,85 BBRL","17,47","+237,16%","0,00%",Serviços Públicos
STBP3,SANTOS BRPNMD,"13,43BRL","0,00%","4,49 M","0,97","11,6 BBRL","15,71","+47,08%","6,21%",Transportes
SUZB3,SUZANO S.A.ATZ,"51,84BRL","−0,04%","3,82 M","0,53","64,91 BBRL",—,"−152,26%","3,89%",Industrias de Processamento
SYNE3,SYN PROP TECON,"5,31BRL","+3,91%","393,8 K","0,81","810,54 MBRL","1,48",—,"123,37%",Financeiro
TAEE3,TAESAN,"11,44BRL","+0,79%","61,3 K","0,83","11,89 BBRL","2,33","+23,80%","10,29%",Serviços Industriais
TASA3,TAURUS ARMASON,"9,12BRL","+0,66%","26,3 K","2,02","1,15 BBRL","15,03","−49,70%","4,42%",Tecnologia Eletrônica
TCSA3,TECNISANMD,"1,40BRL","−2,78%","31,1 K","0,29","103,07 MBRL",—,"−164,21%","0,00%",Financeiro
TECN3,TECHNOSNMD,"6,21BRL","+1,97%","249,9 K","1,12","368,58 MBRL","6,74","+22,85%","3,85%",Consumo Duráveis
TELB3,TELEBRAS,"14,05BRL","+1,22%",400,"0,23","1,09 BBRL",—,—,"0,00%",Comunicações
TEND3,TENDANMD,"15,95BRL","+5,49%","1,99 M","1,10","1,83 BBRL","19,30",—,"1,07%",Financeiro
TGMA3,TEGMAEDJ,"34,91BRL","+1,42%","114,1 K","0,63","2,3 BBRL","8,53","+48,73%","7,76%",Transportes
TIMS3,TIMNMD,"17,84BRL","+1,77%","2,88 M","0,40","43,19 BBRL","13,69","+11,18%","8,11%",Comunicações
TOTS3,TOTVSNMD,"36,64BRL","+1,81%","3,38 M","0,99","21,63 BBRL","30,86","−0,91%","1,61%",Serviços de Tecnologia
TPIS3,TRIUNFO PARTON,"4,16BRL","+0,24%",6 K,"0,19","172,67 MBRL","5,07",—,"5,54%",Transportes
TRAD3,TCNMD,"7,000BRL","−0,14%","32,4 K","0,73","275,44 MBRL",—,"+64,73%","0,00%",Serviços de Tecnologia
TRIS3,TRISULNMD,"6,65BRL","+2,31%","404,8 K","0,90","1,22 BBRL","7,02","+39,31%","2,97%",Consumo Duráveis
TTEN3,3TENTOSNMD,"16,410BRL","+3,60%","1,08 M","0,89","8,18 BBRL","10,83","+32,19%","1,16%",Serviços Comerciais
TUPY3,TUPYNMD,"23,53BRL","+4,58%","1,9 M","1,57","3,39 BBRL","46,68","−85,58%","5,68%",Produtor Manufatureiro
UCAS3,UNICASANMD,"1,62BRL","+1,25%","50,7 K","0,60","107,06 MBRL","8,60","−17,91%","11,21%",Consumo Duráveis
UGPA3,ULTRAPARNMD,"17,25BRL","+2,80%",6 M,"0,87","18,82 BBRL","8,16","−4,28%","4,06%",Comércio de Varejo
UNIP3,UNIPAR,"49,00BRL","+1,07%","3,6 K","0,45","5,84 BBRL","9,98","−29,00%","4,69%",Industrias de Processamento
USIM3,USIMINASN,"5,65BRL","+1,44%","149,5 K","0,48","6,96 BBRL",—,"−110,31%","4,55%",Minerais Não-Energéticos
VALE3,VALENMD,"52,88BRL","+0,61%","23,17 M","0,69","225,73 BBRL","7,17","−19,44%","8,99%",Minerais Não-Energéticos
VAMO3,VAMOSNMD,"4,990BRL","+3,53%","6,08 M","0,47","5,35 BBRL","7,86","+0,44%","5,38%",Financeiro
VBBR3,VIBRAED,"18,10BRL","+0,91%","13,25 M","1,25","19,35 BBRL","3,19","+33,84%","7,26%",Comércio de Varejo
VITT3,VITTIANMD,"4,900BRL","+1,03%","128,3 K","0,56","736,54 MBRL","9,73","−19,31%","3,36%",Industrias de Processamento
VIVA3,VIVARA S.A.NMD,"19,92BRL","+2,84%","2,31 M","0,71","4,71 BBRL","7,17","+77,28%","1,87%",Consumo Duráveis
VIVR3,VIVERNMD,"0,99BRL","+2,06%","55,1 K","0,41","37,98 MBRL",—,"+47,66%","0,00%",Consumo Duráveis
VIVT3,TELEF BRASILON EXD,"26,41BRL","+2,60%",4 M,"1,05","85,82 BBRL","15,61","−33,65%","2,68%",Comunicações
VLID3,VALIDNMD,"24,85BRL","+0,24%","307,5 K","0,76","1,95 BBRL","5,23","+78,27%","10,89%",Serviços Comerciais
VSTE3,VESTENMD,"6,61BRL","−0,30%","5,2 K","0,46","754,7 MBRL","1.139,66","−97,13%","0,72%",Consumo de Não Duráveis
VTRU3,VITRUEDUCANMD,"7,770BRL","+6,44%","344,9 K","0,76","1,04 BBRL","3,77","+125,44%","0,00%",Serviços Comerciais
VULC3,VULCABRASNMD,"16,65BRL","+1,83%","641,2 K","0,76","4,59 BBRL","7,85","+7,13%","7,66%",Consumo de Não Duráveis
VVEO3,VIVEONMD,"1,250BRL","−2,34%","1,86 M","1,19","403,53 MBRL",—,"−485,39%","10,92%",Serviços de Distribuição
WEGE3,WEGNMD,"45,95BRL","+0,24%","3,54 M","0,47","192,81 BBRL","31,91","+5,43%","1,61%",Produtor Manufatureiro
WEST3,WESTWINGNMD,"4,910BRL","−0,81%",500,"0,19","54,55 MBRL",—,"+53,27%","0,00%",Comércio de Varejo
WHRL3,WHIRLPOOL,"3,90BRL","+0,26%",1 K,"0,22","6,12 BBRL","6,45","+260,80%","9,73%",Consumo Duráveis
WIZC3,WIZ CONMD,"5,980BRL","+1,18%","219,5 K","0,62","956,25 MBRL","5,97","+13,09%","4,12%",Financeiro
WLMM3,WLM IND COM,"26,08BRL","−3,41%",600,"1,35","1,06 BBRL","7,34","+12,87%","2,42%",Serviços de Distribuição
YDUQ3,YDUQS PARTNMD,"14,85BRL","+10,90%","16,38 M","3,77","3,86 BBRL","12,72","+122,22%","3,70%",Serviços Comerciais
